Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
Belarus,BLR,2017,"Population, total",SP.POP.TOTL,9507875
Belarus,BLR,2016,"Population, total",SP.POP.TOTL,9501534
Belarus,BLR,2015,"Population, total",SP.POP.TOTL,9489616
Belarus,BLR,2014,"Population, total",SP.POP.TOTL,9474511
Belarus,BLR,2013,"Population, total",SP.POP.TOTL,9465997
Belarus,BLR,2012,"Population, total",SP.POP.TOTL,9464495
Belarus,BLR,2011,"Population, total",SP.POP.TOTL,9473172
Belarus,BLR,2010,"Population, total",SP.POP.TOTL,9490583
Belarus,BLR,2009,"Population, total",SP.POP.TOTL,9506765
Belarus,BLR,2008,"Population, total",SP.POP.TOTL,9527985
Belarus,BLR,2007,"Population, total",SP.POP.TOTL,9560953
Belarus,BLR,2006,"Population, total",SP.POP.TOTL,9604924
Belarus,BLR,2005,"Population, total",SP.POP.TOTL,9663915
Belarus,BLR,2004,"Population, total",SP.POP.TOTL,9730146
Belarus,BLR,2003,"Population, total",SP.POP.TOTL,9796749
Belarus,BLR,2002,"Population, total",SP.POP.TOTL,9865548
Belarus,BLR,2001,"Population, total",SP.POP.TOTL,9928549
Belarus,BLR,2000,"Population, total",SP.POP.TOTL,9979610
Belarus,BLR,1999,"Population, total",SP.POP.TOTL,10026738
Belarus,BLR,1998,"Population, total",SP.POP.TOTL,10069000
Belarus,BLR,1997,"Population, total",SP.POP.TOTL,10117000
Belarus,BLR,1996,"Population, total",SP.POP.TOTL,10160000
Belarus,BLR,1995,"Population, total",SP.POP.TOTL,10194000
Belarus,BLR,1994,"Population, total",SP.POP.TOTL,10227000
Belarus,BLR,1993,"Population, total",SP.POP.TOTL,10239000
Belarus,BLR,1992,"Population, total",SP.POP.TOTL,10216000
Belarus,BLR,1991,"Population, total",SP.POP.TOTL,10194000
Belarus,BLR,1990,"Population, total",SP.POP.TOTL,10189000
Belarus,BLR,1989,"Population, total",SP.POP.TOTL,10170000
Belarus,BLR,1988,"Population, total",SP.POP.TOTL,10140000
Belarus,BLR,1987,"Population, total",SP.POP.TOTL,10111000
Belarus,BLR,1986,"Population, total",SP.POP.TOTL,10043000
Belarus,BLR,1985,"Population, total",SP.POP.TOTL,9975000
Belarus,BLR,1984,"Population, total",SP.POP.TOTL,9910000
Belarus,BLR,1983,"Population, total",SP.POP.TOTL,9843000
Belarus,BLR,1982,"Population, total",SP.POP.TOTL,9776000
Belarus,BLR,1981,"Population, total",SP.POP.TOTL,9710000
Belarus,BLR,1980,"Population, total",SP.POP.TOTL,9643000
Belarus,BLR,1979,"Population, total",SP.POP.TOTL,9584000
Belarus,BLR,1978,"Population, total",SP.POP.TOTL,9525000
Belarus,BLR,1977,"Population, total",SP.POP.TOTL,9463000
Belarus,BLR,1976,"Population, total",SP.POP.TOTL,9411000
Belarus,BLR,1975,"Population, total",SP.POP.TOTL,9367000
Belarus,BLR,1974,"Population, total",SP.POP.TOTL,9317584
Belarus,BLR,1973,"Population, total",SP.POP.TOTL,9257272
Belarus,BLR,1972,"Population, total",SP.POP.TOTL,9188968
Belarus,BLR,1971,"Population, total",SP.POP.TOTL,9115576
Belarus,BLR,1970,"Population, total",SP.POP.TOTL,9040000
Belarus,BLR,1969,"Population, total",SP.POP.TOTL,8960304
Belarus,BLR,1968,"Population, total",SP.POP.TOTL,8874552
Belarus,BLR,1967,"Population, total",SP.POP.TOTL,8785648
Belarus,BLR,1966,"Population, total",SP.POP.TOTL,8696496
Belarus,BLR,1965,"Population, total",SP.POP.TOTL,8610000
Belarus,BLR,1964,"Population, total",SP.POP.TOTL,8524224
Belarus,BLR,1963,"Population, total",SP.POP.TOTL,8437232
Belarus,BLR,1962,"Population, total",SP.POP.TOTL,8351928
Belarus,BLR,1961,"Population, total",SP.POP.TOTL,8271216
Belarus,BLR,1960,"Population, total",SP.POP.TOTL,8198000
