Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
Germany,DEU,2017,"Population, total",SP.POP.TOTL,82695000
Germany,DEU,2016,"Population, total",SP.POP.TOTL,82348669
Germany,DEU,2015,"Population, total",SP.POP.TOTL,81686611
Germany,DEU,2014,"Population, total",SP.POP.TOTL,80982500
Germany,DEU,2013,"Population, total",SP.POP.TOTL,80645605
Germany,DEU,2012,"Population, total",SP.POP.TOTL,80425823
Germany,DEU,2011,"Population, total",SP.POP.TOTL,80274983
Germany,DEU,2010,"Population, total",SP.POP.TOTL,81776930
Germany,DEU,2009,"Population, total",SP.POP.TOTL,81902307
Germany,DEU,2008,"Population, total",SP.POP.TOTL,82110097
Germany,DEU,2007,"Population, total",SP.POP.TOTL,82266372
Germany,DEU,2006,"Population, total",SP.POP.TOTL,82376451
Germany,DEU,2005,"Population, total",SP.POP.TOTL,82469422
Germany,DEU,2004,"Population, total",SP.POP.TOTL,82516260
Germany,DEU,2003,"Population, total",SP.POP.TOTL,82534176
Germany,DEU,2002,"Population, total",SP.POP.TOTL,82488495
Germany,DEU,2001,"Population, total",SP.POP.TOTL,82349925
Germany,DEU,2000,"Population, total",SP.POP.TOTL,82211508
Germany,DEU,1999,"Population, total",SP.POP.TOTL,82100243
Germany,DEU,1998,"Population, total",SP.POP.TOTL,82047195
Germany,DEU,1997,"Population, total",SP.POP.TOTL,82034771
Germany,DEU,1996,"Population, total",SP.POP.TOTL,81914831
Germany,DEU,1995,"Population, total",SP.POP.TOTL,81678051
Germany,DEU,1994,"Population, total",SP.POP.TOTL,81438348
Germany,DEU,1993,"Population, total",SP.POP.TOTL,81156363
Germany,DEU,1992,"Population, total",SP.POP.TOTL,80624598
Germany,DEU,1991,"Population, total",SP.POP.TOTL,80013896
Germany,DEU,1990,"Population, total",SP.POP.TOTL,79433029
Germany,DEU,1989,"Population, total",SP.POP.TOTL,78751283
Germany,DEU,1988,"Population, total",SP.POP.TOTL,78144619
Germany,DEU,1987,"Population, total",SP.POP.TOTL,77839920
Germany,DEU,1986,"Population, total",SP.POP.TOTL,77720436
Germany,DEU,1985,"Population, total",SP.POP.TOTL,77684873
Germany,DEU,1984,"Population, total",SP.POP.TOTL,77858685
Germany,DEU,1983,"Population, total",SP.POP.TOTL,78128282
Germany,DEU,1982,"Population, total",SP.POP.TOTL,78333366
Germany,DEU,1981,"Population, total",SP.POP.TOTL,78407907
Germany,DEU,1980,"Population, total",SP.POP.TOTL,78288576
Germany,DEU,1979,"Population, total",SP.POP.TOTL,78126350
Germany,DEU,1978,"Population, total",SP.POP.TOTL,78091820
Germany,DEU,1977,"Population, total",SP.POP.TOTL,78159814
Germany,DEU,1976,"Population, total",SP.POP.TOTL,78336950
Germany,DEU,1975,"Population, total",SP.POP.TOTL,78673554
Germany,DEU,1974,"Population, total",SP.POP.TOTL,78967433
Germany,DEU,1973,"Population, total",SP.POP.TOTL,78936666
Germany,DEU,1972,"Population, total",SP.POP.TOTL,78688452
Germany,DEU,1971,"Population, total",SP.POP.TOTL,78312842
Germany,DEU,1970,"Population, total",SP.POP.TOTL,78169289
Germany,DEU,1969,"Population, total",SP.POP.TOTL,77909682
Germany,DEU,1968,"Population, total",SP.POP.TOTL,77294314
Germany,DEU,1967,"Population, total",SP.POP.TOTL,76951336
Germany,DEU,1966,"Population, total",SP.POP.TOTL,76600311
Germany,DEU,1965,"Population, total",SP.POP.TOTL,75963695
Germany,DEU,1964,"Population, total",SP.POP.TOTL,75318337
Germany,DEU,1963,"Population, total",SP.POP.TOTL,74714353
Germany,DEU,1962,"Population, total",SP.POP.TOTL,74025784
Germany,DEU,1961,"Population, total",SP.POP.TOTL,73377632
Germany,DEU,1960,"Population, total",SP.POP.TOTL,72814900
Germany,DEU,2017,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,32.7671018463102
