Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
France,FRA,2017,"Population, total",SP.POP.TOTL,67118648
France,FRA,2016,"Population, total",SP.POP.TOTL,66859768
France,FRA,2015,"Population, total",SP.POP.TOTL,66593366
France,FRA,2014,"Population, total",SP.POP.TOTL,66316092
France,FRA,2013,"Population, total",SP.POP.TOTL,65998660
France,FRA,2012,"Population, total",SP.POP.TOTL,65659789
France,FRA,2011,"Population, total",SP.POP.TOTL,65342775
France,FRA,2010,"Population, total",SP.POP.TOTL,65027507
France,FRA,2009,"Population, total",SP.POP.TOTL,64707044
France,FRA,2008,"Population, total",SP.POP.TOTL,64374989
France,FRA,2007,"Population, total",SP.POP.TOTL,64016227
France,FRA,2006,"Population, total",SP.POP.TOTL,63621381
France,FRA,2005,"Population, total",SP.POP.TOTL,63179351
France,FRA,2004,"Population, total",SP.POP.TOTL,62704895
France,FRA,2003,"Population, total",SP.POP.TOTL,62244886
France,FRA,2002,"Population, total",SP.POP.TOTL,61805267
France,FRA,2001,"Population, total",SP.POP.TOTL,61357430
France,FRA,2000,"Population, total",SP.POP.TOTL,60912500
France,FRA,1999,"Population, total",SP.POP.TOTL,60496718
France,FRA,1998,"Population, total",SP.POP.TOTL,60186288
France,FRA,1997,"Population, total",SP.POP.TOTL,59964851
France,FRA,1996,"Population, total",SP.POP.TOTL,59753100
France,FRA,1995,"Population, total",SP.POP.TOTL,59541899
France,FRA,1994,"Population, total",SP.POP.TOTL,59327192
France,FRA,1993,"Population, total",SP.POP.TOTL,59106768
France,FRA,1992,"Population, total",SP.POP.TOTL,58851217
France,FRA,1991,"Population, total",SP.POP.TOTL,58559311
France,FRA,1990,"Population, total",SP.POP.TOTL,58512808
France,FRA,1989,"Population, total",SP.POP.TOTL,58182702
France,FRA,1988,"Population, total",SP.POP.TOTL,57836486
France,FRA,1987,"Population, total",SP.POP.TOTL,57482591
France,FRA,1986,"Population, total",SP.POP.TOTL,57132691
France,FRA,1985,"Population, total",SP.POP.TOTL,56795686
France,FRA,1984,"Population, total",SP.POP.TOTL,56470769
France,FRA,1983,"Population, total",SP.POP.TOTL,56156284
France,FRA,1982,"Population, total",SP.POP.TOTL,55858727
France,FRA,1981,"Population, total",SP.POP.TOTL,55585824
France,FRA,1980,"Population, total",SP.POP.TOTL,55340782
France,FRA,1979,"Population, total",SP.POP.TOTL,55130594
France,FRA,1978,"Population, total",SP.POP.TOTL,54947975
France,FRA,1977,"Population, total",SP.POP.TOTL,54764462
France,FRA,1976,"Population, total",SP.POP.TOTL,54541493
France,FRA,1975,"Population, total",SP.POP.TOTL,54252574
France,FRA,1974,"Population, total",SP.POP.TOTL,53882416
France,FRA,1973,"Population, total",SP.POP.TOTL,53441264
France,FRA,1972,"Population, total",SP.POP.TOTL,52959228
France,FRA,1971,"Population, total",SP.POP.TOTL,52480421
France,FRA,1970,"Population, total",SP.POP.TOTL,52035095
France,FRA,1969,"Population, total",SP.POP.TOTL,51638260
France,FRA,1968,"Population, total",SP.POP.TOTL,51276054
France,FRA,1967,"Population, total",SP.POP.TOTL,50915456
France,FRA,1966,"Population, total",SP.POP.TOTL,50508717
France,FRA,1965,"Population, total",SP.POP.TOTL,50023774
France,FRA,1964,"Population, total",SP.POP.TOTL,49449403
France,FRA,1963,"Population, total",SP.POP.TOTL,48803680
France,FRA,1962,"Population, total",SP.POP.TOTL,48119649
France,FRA,1961,"Population, total",SP.POP.TOTL,47444751
France,FRA,1960,"Population, total",SP.POP.TOTL,46814237
France,FRA,2017,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,31.7021348203046
France,FRA,2016,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,30.9640544604332
France,FRA,2015,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,30.1584786546544
France,FRA,2014,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,29.2520772265426
France,FRA,2013,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,28.2827763815653
France,FRA,2012,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,27.3400591330143
France,FRA,2011,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,26.5479296124023
France,FRA,2010,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.9631248719592
France,FRA,2009,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.5593760351008
France,FRA,2008,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.3816046719139
France,FRA,2007,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.3501784558208
France,FRA,2006,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.33952139898
France,FRA,2005,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.2671821566622
France,FRA,2004,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.2065734129394
France,FRA,2003,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.1035711517643
France,FRA,2002,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.9542500431287
France,FRA,2001,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.7676716248045
France,FRA,2000,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.545395179252
France,FRA,1999,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.3305552759929
France,FRA,1998,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.0683174931443
France,FRA,1997,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,23.7635707517857
France,FRA,1996,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,23.4314503398089
France,FRA,1995,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,23.0810202873111
France,FRA,1994,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.7452726750148
France,FRA,1993,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.4245005490284
France,FRA,1992,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.090776928589
France,FRA,1991,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.6948751879937
France,FRA,1990,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.2079717919157
France,FRA,1989,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.7740248578563
France,FRA,1988,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.2296822783697
France,FRA,1987,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.6723179735432
France,FRA,1986,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.2700662502602
France,FRA,1985,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.1329400972697
France,FRA,1984,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.3679835309106
France,FRA,1983,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.9230983573602
France,FRA,1982,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.6649132978115
France,FRA,1981,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.338720089174
France,FRA,1980,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.7571817159429
France,FRA,1979,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.052964617491
France,FRA,1978,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.0762575322695
France,FRA,1977,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.8853934792572
France,FRA,1976,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.6155500890474
France,FRA,1975,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.3563261799289
France,FRA,1974,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.245311933923
France,FRA,1973,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.1268059607475
France,FRA,1972,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.9897536604529
France,FRA,1971,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.8058870374721
France,FRA,1970,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.5547748000278
France,FRA,1969,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.365088446403
France,FRA,1968,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.1310089020864
