Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
United Kingdom,GBR,2017,"Population, total",SP.POP.TOTL,66022273
United Kingdom,GBR,2016,"Population, total",SP.POP.TOTL,65595565
United Kingdom,GBR,2015,"Population, total",SP.POP.TOTL,65128861
United Kingdom,GBR,2014,"Population, total",SP.POP.TOTL,64613160
United Kingdom,GBR,2013,"Population, total",SP.POP.TOTL,64128226
United Kingdom,GBR,2012,"Population, total",SP.POP.TOTL,63700300
United Kingdom,GBR,2011,"Population, total",SP.POP.TOTL,63258918
United Kingdom,GBR,2010,"Population, total",SP.POP.TOTL,62766365
United Kingdom,GBR,2009,"Population, total",SP.POP.TOTL,62276270
United Kingdom,GBR,2008,"Population, total",SP.POP.TOTL,61806995
United Kingdom,GBR,2007,"Population, total",SP.POP.TOTL,61322463
United Kingdom,GBR,2006,"Population, total",SP.POP.TOTL,60846820
United Kingdom,GBR,2005,"Population, total",SP.POP.TOTL,60401206
United Kingdom,GBR,2004,"Population, total",SP.POP.TOTL,59987905
United Kingdom,GBR,2003,"Population, total",SP.POP.TOTL,59647577
United Kingdom,GBR,2002,"Population, total",SP.POP.TOTL,59370479
United Kingdom,GBR,2001,"Population, total",SP.POP.TOTL,59119673
United Kingdom,GBR,2000,"Population, total",SP.POP.TOTL,58892514
United Kingdom,GBR,1999,"Population, total",SP.POP.TOTL,58682466
United Kingdom,GBR,1998,"Population, total",SP.POP.TOTL,58487141
United Kingdom,GBR,1997,"Population, total",SP.POP.TOTL,58316954
United Kingdom,GBR,1996,"Population, total",SP.POP.TOTL,58166950
United Kingdom,GBR,1995,"Population, total",SP.POP.TOTL,58019030
United Kingdom,GBR,1994,"Population, total",SP.POP.TOTL,57865745
United Kingdom,GBR,1993,"Population, total",SP.POP.TOTL,57718614
United Kingdom,GBR,1992,"Population, total",SP.POP.TOTL,57580402
United Kingdom,GBR,1991,"Population, total",SP.POP.TOTL,57424897
United Kingdom,GBR,1990,"Population, total",SP.POP.TOTL,57247586
United Kingdom,GBR,1989,"Population, total",SP.POP.TOTL,57076711
United Kingdom,GBR,1988,"Population, total",SP.POP.TOTL,56928327
United Kingdom,GBR,1987,"Population, total",SP.POP.TOTL,56802050
United Kingdom,GBR,1986,"Population, total",SP.POP.TOTL,56681396
United Kingdom,GBR,1985,"Population, total",SP.POP.TOTL,56550268
United Kingdom,GBR,1984,"Population, total",SP.POP.TOTL,56422072
United Kingdom,GBR,1983,"Population, total",SP.POP.TOTL,56332848
United Kingdom,GBR,1982,"Population, total",SP.POP.TOTL,56313641
United Kingdom,GBR,1981,"Population, total",SP.POP.TOTL,56333829
United Kingdom,GBR,1980,"Population, total",SP.POP.TOTL,56314216
United Kingdom,GBR,1979,"Population, total",SP.POP.TOTL,56246951
United Kingdom,GBR,1978,"Population, total",SP.POP.TOTL,56196504
United Kingdom,GBR,1977,"Population, total",SP.POP.TOTL,56193492
United Kingdom,GBR,1976,"Population, total",SP.POP.TOTL,56211968
United Kingdom,GBR,1975,"Population, total",SP.POP.TOTL,56225800
United Kingdom,GBR,1974,"Population, total",SP.POP.TOTL,56229974
United Kingdom,GBR,1973,"Population, total",SP.POP.TOTL,56194527
United Kingdom,GBR,1972,"Population, total",SP.POP.TOTL,56086065
United Kingdom,GBR,1971,"Population, total",SP.POP.TOTL,55896223
United Kingdom,GBR,1970,"Population, total",SP.POP.TOTL,55663250
United Kingdom,GBR,1969,"Population, total",SP.POP.TOTL,55441750
United Kingdom,GBR,1968,"Population, total",SP.POP.TOTL,55211700
United Kingdom,GBR,1967,"Population, total",SP.POP.TOTL,54943600
United Kingdom,GBR,1966,"Population, total",SP.POP.TOTL,54648500
United Kingdom,GBR,1965,"Population, total",SP.POP.TOTL,54348050
United Kingdom,GBR,1964,"Population, total",SP.POP.TOTL,54000000
United Kingdom,GBR,1963,"Population, total",SP.POP.TOTL,53650000
United Kingdom,GBR,1962,"Population, total",SP.POP.TOTL,53250000
United Kingdom,GBR,1961,"Population, total",SP.POP.TOTL,52800000
United Kingdom,GBR,1960,"Population, total",SP.POP.TOTL,52400000
United Kingdom,GBR,2017,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,29.0367909095512
United Kingdom,GBR,2016,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,28.6587305105706
United Kingdom,GBR,2015,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,28.1854749029746
United Kingdom,GBR,2014,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,27.6393820755612
United Kingdom,GBR,2013,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,27.0045992703592
United Kingdom,GBR,2012,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,26.3328005012867
United Kingdom,GBR,2011,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.7119069226525
United Kingdom,GBR,2010,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.1944495135975
United Kingdom,GBR,2009,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.8476974770208
United Kingdom,GBR,2008,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.6270414985308
United Kingdom,GBR,2007,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.5018619431485
