Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
Georgia,GEO,2017,"Population, total",SP.POP.TOTL,3717100
Georgia,GEO,2016,"Population, total",SP.POP.TOTL,3719300
Georgia,GEO,2015,"Population, total",SP.POP.TOTL,3717100
Georgia,GEO,2014,"Population, total",SP.POP.TOTL,3727000
Georgia,GEO,2013,"Population, total",SP.POP.TOTL,3776000
Georgia,GEO,2012,"Population, total",SP.POP.TOTL,3825000
Georgia,GEO,2011,"Population, total",SP.POP.TOTL,3875000
Georgia,GEO,2010,"Population, total",SP.POP.TOTL,3926000
Georgia,GEO,2009,"Population, total",SP.POP.TOTL,3978000
Georgia,GEO,2008,"Population, total",SP.POP.TOTL,4030000
Georgia,GEO,2007,"Population, total",SP.POP.TOTL,4082000
Georgia,GEO,2006,"Population, total",SP.POP.TOTL,4136000
Georgia,GEO,2005,"Population, total",SP.POP.TOTL,4190000
Georgia,GEO,2004,"Population, total",SP.POP.TOTL,4245000
Georgia,GEO,2003,"Population, total",SP.POP.TOTL,4301000
Georgia,GEO,2002,"Population, total",SP.POP.TOTL,4357000
Georgia,GEO,2001,"Population, total",SP.POP.TOTL,4386400
Georgia,GEO,2000,"Population, total",SP.POP.TOTL,4418300
Georgia,GEO,1999,"Population, total",SP.POP.TOTL,4452500
Georgia,GEO,1998,"Population, total",SP.POP.TOTL,4487300
Georgia,GEO,1997,"Population, total",SP.POP.TOTL,4531600
Georgia,GEO,1996,"Population, total",SP.POP.TOTL,4616100
Georgia,GEO,1995,"Population, total",SP.POP.TOTL,4734000
Georgia,GEO,1994,"Population, total",SP.POP.TOTL,4861600
Georgia,GEO,1993,"Population, total",SP.POP.TOTL,4911100
Georgia,GEO,1992,"Population, total",SP.POP.TOTL,4873500
Georgia,GEO,1991,"Population, total",SP.POP.TOTL,4835900
Georgia,GEO,1990,"Population, total",SP.POP.TOTL,4802000
Georgia,GEO,1989,"Population, total",SP.POP.TOTL,4803300
Georgia,GEO,1988,"Population, total",SP.POP.TOTL,4790700
Georgia,GEO,1987,"Population, total",SP.POP.TOTL,4743500
Georgia,GEO,1986,"Population, total",SP.POP.TOTL,4704500
Georgia,GEO,1985,"Population, total",SP.POP.TOTL,4662900
Georgia,GEO,1984,"Population, total",SP.POP.TOTL,4622200
Georgia,GEO,1983,"Population, total",SP.POP.TOTL,4582900
Georgia,GEO,1982,"Population, total",SP.POP.TOTL,4542800
Georgia,GEO,1981,"Population, total",SP.POP.TOTL,4504500
Georgia,GEO,1980,"Population, total",SP.POP.TOTL,4467700
Georgia,GEO,1979,"Population, total",SP.POP.TOTL,4430200
Georgia,GEO,1978,"Population, total",SP.POP.TOTL,4397700
Georgia,GEO,1977,"Population, total",SP.POP.TOTL,4372100
Georgia,GEO,1976,"Population, total",SP.POP.TOTL,4342400
Georgia,GEO,1975,"Population, total",SP.POP.TOTL,4311200
Georgia,GEO,1974,"Population, total",SP.POP.TOTL,4279500
Georgia,GEO,1973,"Population, total",SP.POP.TOTL,4242500
Georgia,GEO,1972,"Population, total",SP.POP.TOTL,4205300
Georgia,GEO,1971,"Population, total",SP.POP.TOTL,4163000
Georgia,GEO,1970,"Population, total",SP.POP.TOTL,4119900
Georgia,GEO,1969,"Population, total",SP.POP.TOTL,4080300
Georgia,GEO,1968,"Population, total",SP.POP.TOTL,4042300
Georgia,GEO,1967,"Population, total",SP.POP.TOTL,4005800
Georgia,GEO,1966,"Population, total",SP.POP.TOTL,3966700
Georgia,GEO,1965,"Population, total",SP.POP.TOTL,3921600
Georgia,GEO,1964,"Population, total",SP.POP.TOTL,3870300
Georgia,GEO,1963,"Population, total",SP.POP.TOTL,3816100
Georgia,GEO,1962,"Population, total",SP.POP.TOTL,3760300
Georgia,GEO,1961,"Population, total",SP.POP.TOTL,3703600
Georgia,GEO,1960,"Population, total",SP.POP.TOTL,3645600
Georgia,GEO,2017,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.5369112514664
Georgia,GEO,2016,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.2102809857182
Georgia,GEO,2015,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.9218809644672
Georgia,GEO,2014,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.617775713545
Georgia,GEO,2013,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.3777426135424
Georgia,GEO,2012,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.2151070250131
Georgia,GEO,2011,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.1409493328773
Georgia,GEO,2010,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.1498765394923
Georgia,GEO,2009,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.2784109422741
Georgia,GEO,2008,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.5007643851527
Georgia,GEO,2007,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.7296824599231
Georgia,GEO,2006,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.8209816375756
Georgia,GEO,2005,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.6764495914968
Georgia,GEO,2004,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.5038456703843
Georgia,GEO,2003,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.0281437106618
Georgia,GEO,2002,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.354961766348
Georgia,GEO,2001,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.6717119421489
Georgia,GEO,2000,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.096293535674
Georgia,GEO,1999,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.8092809056816
Georgia,GEO,1998,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.6428209863639
Georgia,GEO,1997,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.5069677971764
Georgia,GEO,1996,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.2399375917086
Georgia,GEO,1995,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,17.739316912016
Georgia,GEO,1994,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,17.2277266973991
Georgia,GEO,1993,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,16.4976326419565
Georgia,GEO,1992,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.646916436255
Georgia,GEO,1991,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.8297673572488
Georgia,GEO,1990,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.1421500319662
Georgia,GEO,1989,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.7635686146707
Georgia,GEO,1988,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.5424323484613
Georgia,GEO,1987,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.4460368502725
Georgia,GEO,1986,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.4134825035882
Georgia,GEO,1985,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.4026181750419
Georgia,GEO,1984,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.531075468411
Georgia,GEO,1983,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.7208842733932
Georgia,GEO,1982,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.9317771025391
Georgia,GEO,1981,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.0997586816831
Georgia,GEO,1980,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.1743936320861
Georgia,GEO,1979,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.1249047393624
Georgia,GEO,1978,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.9683101147062
Georgia,GEO,1977,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.7291924031717
Georgia,GEO,1976,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.4703935742508
Georgia,GEO,1975,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.2348678604988
Georgia,GEO,1974,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.1030782549323
Georgia,GEO,1973,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.9956348822877
Georgia,GEO,1972,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.8929642218868
Georgia,GEO,1971,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.7629350846232
Georgia,GEO,1970,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.5858565207936
Georgia,GEO,1969,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.6096160145703
Georgia,GEO,1968,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.6114828502122
Georgia,GEO,1967,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.5977929933261
Georgia,GEO,1966,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.5841196655847
Georgia,GEO,1965,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.5816568467975
Georgia,GEO,1964,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.8013842760439
Georgia,GEO,1963,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.0518459307967
