Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
Moldova,MDA,2017,"Population, total",SP.POP.TOTL,3549750
Moldova,MDA,2016,"Population, total",SP.POP.TOTL,3551954
Moldova,MDA,2015,"Population, total",SP.POP.TOTL,3554108
Moldova,MDA,2014,"Population, total",SP.POP.TOTL,3556397
Moldova,MDA,2013,"Population, total",SP.POP.TOTL,3558566
Moldova,MDA,2012,"Population, total",SP.POP.TOTL,3559519
Moldova,MDA,2011,"Population, total",SP.POP.TOTL,3559986
Moldova,MDA,2010,"Population, total",SP.POP.TOTL,3562045
Moldova,MDA,2009,"Population, total",SP.POP.TOTL,3565604
Moldova,MDA,2008,"Population, total",SP.POP.TOTL,3570108
Moldova,MDA,2007,"Population, total",SP.POP.TOTL,3576910
Moldova,MDA,2006,"Population, total",SP.POP.TOTL,3585209
Moldova,MDA,2005,"Population, total",SP.POP.TOTL,3595187
Moldova,MDA,2004,"Population, total",SP.POP.TOTL,3603945
Moldova,MDA,2003,"Population, total",SP.POP.TOTL,3612874
Moldova,MDA,2002,"Population, total",SP.POP.TOTL,3623062
Moldova,MDA,2001,"Population, total",SP.POP.TOTL,3631462
Moldova,MDA,2000,"Population, total",SP.POP.TOTL,3639592
Moldova,MDA,1999,"Population, total",SP.POP.TOTL,3647001
Moldova,MDA,1998,"Population, total",SP.POP.TOTL,3652732
Moldova,MDA,1997,"Population, total",SP.POP.TOTL,3654208
Moldova,MDA,1996,"Population, total",SP.POP.TOTL,3667748
Moldova,MDA,1995,"Population, total",SP.POP.TOTL,3675099
Moldova,MDA,1994,"Population, total",SP.POP.TOTL,3691000
Moldova,MDA,1993,"Population, total",SP.POP.TOTL,3701000
Moldova,MDA,1992,"Population, total",SP.POP.TOTL,3706000
Moldova,MDA,1991,"Population, total",SP.POP.TOTL,3704000
Moldova,MDA,1990,"Population, total",SP.POP.TOTL,3696000
Moldova,MDA,1989,"Population, total",SP.POP.TOTL,3681000
Moldova,MDA,1988,"Population, total",SP.POP.TOTL,3660000
Moldova,MDA,1987,"Population, total",SP.POP.TOTL,3633000
Moldova,MDA,1986,"Population, total",SP.POP.TOTL,3602000
Moldova,MDA,1985,"Population, total",SP.POP.TOTL,3570000
Moldova,MDA,1984,"Population, total",SP.POP.TOTL,3536000
Moldova,MDA,1983,"Population, total",SP.POP.TOTL,3500000
Moldova,MDA,1982,"Population, total",SP.POP.TOTL,3464000
Moldova,MDA,1981,"Population, total",SP.POP.TOTL,3429000
Moldova,MDA,1980,"Population, total",SP.POP.TOTL,3396000
Moldova,MDA,1979,"Population, total",SP.POP.TOTL,3366000
Moldova,MDA,1978,"Population, total",SP.POP.TOTL,3339000
Moldova,MDA,1977,"Population, total",SP.POP.TOTL,3312000
Moldova,MDA,1976,"Population, total",SP.POP.TOTL,3284000
Moldova,MDA,1975,"Population, total",SP.POP.TOTL,3251000
Moldova,MDA,1974,"Population, total",SP.POP.TOTL,3215000
Moldova,MDA,1973,"Population, total",SP.POP.TOTL,3174000
Moldova,MDA,1972,"Population, total",SP.POP.TOTL,3131000
Moldova,MDA,1971,"Population, total",SP.POP.TOTL,3088000
Moldova,MDA,1970,"Population, total",SP.POP.TOTL,3044000
Moldova,MDA,1969,"Population, total",SP.POP.TOTL,3002000
Moldova,MDA,1968,"Population, total",SP.POP.TOTL,2960000
Moldova,MDA,1967,"Population, total",SP.POP.TOTL,2918000
Moldova,MDA,1966,"Population, total",SP.POP.TOTL,2873000
Moldova,MDA,1965,"Population, total",SP.POP.TOTL,2825000
Moldova,MDA,1964,"Population, total",SP.POP.TOTL,2774000
Moldova,MDA,1963,"Population, total",SP.POP.TOTL,2721000
Moldova,MDA,1962,"Population, total",SP.POP.TOTL,2664000
Moldova,MDA,1961,"Population, total",SP.POP.TOTL,2605000
Moldova,MDA,1960,"Population, total",SP.POP.TOTL,2544000
Moldova,MDA,2017,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.8011338012086
Moldova,MDA,2016,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.9618525913476
