Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
Romania,ROU,2017,"Population, total",SP.POP.TOTL,19586539
Romania,ROU,2016,"Population, total",SP.POP.TOTL,19702332
Romania,ROU,2015,"Population, total",SP.POP.TOTL,19815481
Romania,ROU,2014,"Population, total",SP.POP.TOTL,19908979
Romania,ROU,2013,"Population, total",SP.POP.TOTL,19983693
Romania,ROU,2012,"Population, total",SP.POP.TOTL,20058035
Romania,ROU,2011,"Population, total",SP.POP.TOTL,20147528
Romania,ROU,2010,"Population, total",SP.POP.TOTL,20246871
Romania,ROU,2009,"Population, total",SP.POP.TOTL,20367487
Romania,ROU,2008,"Population, total",SP.POP.TOTL,20537875
Romania,ROU,2007,"Population, total",SP.POP.TOTL,20882982
Romania,ROU,2006,"Population, total",SP.POP.TOTL,21193760
Romania,ROU,2005,"Population, total",SP.POP.TOTL,21319685
Romania,ROU,2004,"Population, total",SP.POP.TOTL,21451748
Romania,ROU,2003,"Population, total",SP.POP.TOTL,21574326
Romania,ROU,2002,"Population, total",SP.POP.TOTL,21730496
Romania,ROU,2001,"Population, total",SP.POP.TOTL,22131970
Romania,ROU,2000,"Population, total",SP.POP.TOTL,22442971
Romania,ROU,1999,"Population, total",SP.POP.TOTL,22472040
Romania,ROU,1998,"Population, total",SP.POP.TOTL,22507344
Romania,ROU,1997,"Population, total",SP.POP.TOTL,22553978
Romania,ROU,1996,"Population, total",SP.POP.TOTL,22619004
Romania,ROU,1995,"Population, total",SP.POP.TOTL,22684270
Romania,ROU,1994,"Population, total",SP.POP.TOTL,22730211
Romania,ROU,1993,"Population, total",SP.POP.TOTL,22763280
Romania,ROU,1992,"Population, total",SP.POP.TOTL,22794284
Romania,ROU,1991,"Population, total",SP.POP.TOTL,23001155
Romania,ROU,1990,"Population, total",SP.POP.TOTL,23201835
Romania,ROU,1989,"Population, total",SP.POP.TOTL,23161458
Romania,ROU,1988,"Population, total",SP.POP.TOTL,23057662
Romania,ROU,1987,"Population, total",SP.POP.TOTL,22949430
Romania,ROU,1986,"Population, total",SP.POP.TOTL,22859269
Romania,ROU,1985,"Population, total",SP.POP.TOTL,22755427
Romania,ROU,1984,"Population, total",SP.POP.TOTL,22655940
Romania,ROU,1983,"Population, total",SP.POP.TOTL,22588790
Romania,ROU,1982,"Population, total",SP.POP.TOTL,22515389
Romania,ROU,1981,"Population, total",SP.POP.TOTL,22415169
Romania,ROU,1980,"Population, total",SP.POP.TOTL,22242653
Romania,ROU,1979,"Population, total",SP.POP.TOTL,22090488
Romania,ROU,1978,"Population, total",SP.POP.TOTL,21951464
Romania,ROU,1977,"Population, total",SP.POP.TOTL,21756096
Romania,ROU,1976,"Population, total",SP.POP.TOTL,21551634
Romania,ROU,1975,"Population, total",SP.POP.TOTL,21293583
Romania,ROU,1974,"Population, total",SP.POP.TOTL,21029429
Romania,ROU,1973,"Population, total",SP.POP.TOTL,20835681
Romania,ROU,1972,"Population, total",SP.POP.TOTL,20657957
Romania,ROU,1971,"Population, total",SP.POP.TOTL,20461567
Romania,ROU,1970,"Population, total",SP.POP.TOTL,20250398
Romania,ROU,1969,"Population, total",SP.POP.TOTL,20009141
Romania,ROU,1968,"Population, total",SP.POP.TOTL,19799831
Romania,ROU,1967,"Population, total",SP.POP.TOTL,19534242
Romania,ROU,1966,"Population, total",SP.POP.TOTL,19215450
Romania,ROU,1965,"Population, total",SP.POP.TOTL,19031576
Romania,ROU,1964,"Population, total",SP.POP.TOTL,18919126
Romania,ROU,1963,"Population, total",SP.POP.TOTL,18797850
Romania,ROU,1962,"Population, total",SP.POP.TOTL,18676550
Romania,ROU,1961,"Population, total",SP.POP.TOTL,18555250
Romania,ROU,1960,"Population, total",SP.POP.TOTL,18406905
Romania,ROU,2017,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,26.6877419970421
Romania,ROU,2016,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.8913778477821
Romania,ROU,2015,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,25.1536270622279
Romania,ROU,2014,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.5481643930998
Romania,ROU,2013,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.0162672557532
Romania,ROU,2012,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,23.5623448706639
Romania,ROU,2011,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,23.1886479316247
Romania,ROU,2010,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.8905924066119
Romania,ROU,2009,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.6862552222569
Romania,ROU,2008,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.5798274476235
Romania,ROU,2007,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.5060927439792
Romania,ROU,2006,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.3663474036897
Romania,ROU,2005,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.0969205554512
Romania,ROU,2004,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.9093994024109
Romania,ROU,2003,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.5715397871738
Romania,ROU,2002,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.1110715970161
Romania,ROU,2001,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.5924233463483
Romania,ROU,2000,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.0612333786133
Romania,ROU,1999,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.6846581715816
Romania,ROU,1998,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.2937995527894
Romania,ROU,1997,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.8833355274348
Romania,ROU,1996,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.4378473603366
Romania,ROU,1995,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,17.9455548006142
Romania,ROU,1994,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,17.564411621603
Romania,ROU,1993,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,17.1615252985915
Romania,ROU,1992,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,16.7346227771757
Romania,ROU,1991,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,16.2811805045883
Romania,ROU,1990,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.8021084323351
Romania,ROU,1989,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.4799888964028
Romania,ROU,1988,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.1310846728078
Romania,ROU,1987,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.8016217236527
Romania,ROU,1986,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.5733872065012
Romania,ROU,1985,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.5002267235478
Romania,ROU,1984,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.6883749799871
Romania,ROU,1983,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.092916849402
Romania,ROU,1982,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.6052338043338
Romania,ROU,1981,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,16.0178169274258
Romania,ROU,1980,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,16.1747136087816
Romania,ROU,1979,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,16.1681120348906
Romania,ROU,1978,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.8854416197415
Romania,ROU,1977,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.4084710795864
Romania,ROU,1976,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.8921652983719
Romania,ROU,1975,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.4335164666665
Romania,ROU,1974,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.0690858693602
Romania,ROU,1973,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.7480238217721
Romania,ROU,1972,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.4610299952236
Romania,ROU,1971,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.1847045335647
