Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
Russian Federation,RUS,2017,"Population, total",SP.POP.TOTL,144495044
Russian Federation,RUS,2016,"Population, total",SP.POP.TOTL,144342396
Russian Federation,RUS,2015,"Population, total",SP.POP.TOTL,144096870
Russian Federation,RUS,2014,"Population, total",SP.POP.TOTL,143819666
Russian Federation,RUS,2013,"Population, total",SP.POP.TOTL,143506911
Russian Federation,RUS,2012,"Population, total",SP.POP.TOTL,143201676
Russian Federation,RUS,2011,"Population, total",SP.POP.TOTL,142960868
Russian Federation,RUS,2010,"Population, total",SP.POP.TOTL,142849449
Russian Federation,RUS,2009,"Population, total",SP.POP.TOTL,142785342
Russian Federation,RUS,2008,"Population, total",SP.POP.TOTL,142742350
Russian Federation,RUS,2007,"Population, total",SP.POP.TOTL,142805088
Russian Federation,RUS,2006,"Population, total",SP.POP.TOTL,143049528
Russian Federation,RUS,2005,"Population, total",SP.POP.TOTL,143518523
Russian Federation,RUS,2004,"Population, total",SP.POP.TOTL,144067054
Russian Federation,RUS,2003,"Population, total",SP.POP.TOTL,144648257
Russian Federation,RUS,2002,"Population, total",SP.POP.TOTL,145306046
Russian Federation,RUS,2001,"Population, total",SP.POP.TOTL,145976083
Russian Federation,RUS,2000,"Population, total",SP.POP.TOTL,146596557
Russian Federation,RUS,1999,"Population, total",SP.POP.TOTL,147214392
Russian Federation,RUS,1998,"Population, total",SP.POP.TOTL,147670692
Russian Federation,RUS,1997,"Population, total",SP.POP.TOTL,147915307
Russian Federation,RUS,1996,"Population, total",SP.POP.TOTL,148160042
Russian Federation,RUS,1995,"Population, total",SP.POP.TOTL,148375726
Russian Federation,RUS,1994,"Population, total",SP.POP.TOTL,148336000
Russian Federation,RUS,1993,"Population, total",SP.POP.TOTL,148520000
Russian Federation,RUS,1992,"Population, total",SP.POP.TOTL,148689000
Russian Federation,RUS,1991,"Population, total",SP.POP.TOTL,148624000
Russian Federation,RUS,1990,"Population, total",SP.POP.TOTL,148292000
Russian Federation,RUS,1989,"Population, total",SP.POP.TOTL,147721000
Russian Federation,RUS,1988,"Population, total",SP.POP.TOTL,146857000
Russian Federation,RUS,1987,"Population, total",SP.POP.TOTL,145908000
Russian Federation,RUS,1986,"Population, total",SP.POP.TOTL,144894000
Russian Federation,RUS,1985,"Population, total",SP.POP.TOTL,143858000
Russian Federation,RUS,1984,"Population, total",SP.POP.TOTL,142745000
Russian Federation,RUS,1983,"Population, total",SP.POP.TOTL,141668000
Russian Federation,RUS,1982,"Population, total",SP.POP.TOTL,140823000
Russian Federation,RUS,1981,"Population, total",SP.POP.TOTL,139941000
Russian Federation,RUS,1980,"Population, total",SP.POP.TOTL,139010000
Russian Federation,RUS,1979,"Population, total",SP.POP.TOTL,138027000
Russian Federation,RUS,1978,"Population, total",SP.POP.TOTL,137060000
Russian Federation,RUS,1977,"Population, total",SP.POP.TOTL,136100000
Russian Federation,RUS,1976,"Population, total",SP.POP.TOTL,135147000
Russian Federation,RUS,1975,"Population, total",SP.POP.TOTL,134200000
Russian Federation,RUS,1974,"Population, total",SP.POP.TOTL,133432000
Russian Federation,RUS,1973,"Population, total",SP.POP.TOTL,132669000
Russian Federation,RUS,1972,"Population, total",SP.POP.TOTL,131909000
Russian Federation,RUS,1971,"Population, total",SP.POP.TOTL,131155000
Russian Federation,RUS,1970,"Population, total",SP.POP.TOTL,130404000
Russian Federation,RUS,1969,"Population, total",SP.POP.TOTL,129664000
Russian Federation,RUS,1968,"Population, total",SP.POP.TOTL,128928000
Russian Federation,RUS,1967,"Population, total",SP.POP.TOTL,128196000
Russian Federation,RUS,1966,"Population, total",SP.POP.TOTL,127468000
Russian Federation,RUS,1965,"Population, total",SP.POP.TOTL,126745000
Russian Federation,RUS,1964,"Population, total",SP.POP.TOTL,125345000
Russian Federation,RUS,1963,"Population, total",SP.POP.TOTL,123960000
Russian Federation,RUS,1962,"Population, total",SP.POP.TOTL,122591000
Russian Federation,RUS,1961,"Population, total",SP.POP.TOTL,121236000
Russian Federation,RUS,1960,"Population, total",SP.POP.TOTL,119897000
Russian Federation,RUS,2017,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.7845994935077
Russian Federation,RUS,2016,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.0103366548128
Russian Federation,RUS,2015,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.3583072790716
Russian Federation,RUS,2014,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.9690103023115
Russian Federation,RUS,2013,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.6756911870918
Russian Federation,RUS,2012,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.4475607304908
Russian Federation,RUS,2011,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.2749782322041
Russian Federation,RUS,2010,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.1703311627859
Russian Federation,RUS,2009,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.3226744890974
Russian Federation,RUS,2008,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.6426478993981
Russian Federation,RUS,2007,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.0570497716911
Russian Federation,RUS,2006,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.3825833795893
Russian Federation,RUS,2005,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.4613930652929
Russian Federation,RUS,2004,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.549331768646
Russian Federation,RUS,2003,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.2924006108814
Russian Federation,RUS,2002,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.8049214415848
Russian Federation,RUS,2001,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.3089970309869
Russian Federation,RUS,2000,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,17.9513006220424
Russian Federation,RUS,1999,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,17.9313053137738
Russian Federation,RUS,1998,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.0788210263
Russian Federation,RUS,1997,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.2997253042448
Russian Federation,RUS,1996,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.4029683303138
Russian Federation,RUS,1995,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.2525321976683
Russian Federation,RUS,1994,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,17.9431780175963
Russian Federation,RUS,1993,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,17.3913862250424
Russian Federation,RUS,1992,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,16.6856851083807
Russian Federation,RUS,1991,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.9934954018803
Russian Federation,RUS,1990,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.4292728239802
Russian Federation,RUS,1989,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.0382550175241
Russian Federation,RUS,1988,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.7978392942782
Russian Federation,RUS,1987,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.6795150221795
Russian Federation,RUS,1986,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.6204911022916
Russian Federation,RUS,1985,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.5752343759115
Russian Federation,RUS,1984,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.6803412829362
Russian Federation,RUS,1983,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.8471556622197
Russian Federation,RUS,1982,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.0248151427349
Russian Federation,RUS,1981,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.1290574062064
Russian Federation,RUS,1980,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,15.094661483654
Russian Federation,RUS,1979,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.9452505993372
Russian Federation,RUS,1978,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.631615158256
Russian Federation,RUS,1977,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.196321483141
Russian Federation,RUS,1976,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.7296130298234
Russian Federation,RUS,1975,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.2932798564556
Russian Federation,RUS,1974,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.9194974656981
Russian Federation,RUS,1973,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.5899516292939
Russian Federation,RUS,1972,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.2928137248011
Russian Federation,RUS,1971,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.9984368444869
Russian Federation,RUS,1970,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.6855667671591
Russian Federation,RUS,1969,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.415987001121
Russian Federation,RUS,1968,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.155969768711
Russian Federation,RUS,1967,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.904582458053
Russian Federation,RUS,1966,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.6659589545176
Russian Federation,RUS,1965,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.4418557097689
Russian Federation,RUS,1964,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.2549690880039
Russian Federation,RUS,1963,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.0991164979945
Russian Federation,RUS,1962,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.95355930624113
Russian Federation,RUS,1961,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.78607749952002
Russian Federation,RUS,1960,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.57572524148467
Russian Federation,RUS,2017,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,25.8083141709363
Russian Federation,RUS,2016,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,25.0908548691785
Russian Federation,RUS,2015,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,24.1574973662385
Russian Federation,RUS,2014,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,23.3769653170778
Russian Federation,RUS,2013,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,22.5095638319646
Russian Federation,RUS,2012,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,21.6643547003558
Russian Federation,RUS,2011,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,21.016377401284
Russian Federation,RUS,2010,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,20.6751977732687
Russian Federation,RUS,2009,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,20.4537834000972
Russian Federation,RUS,2008,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,20.4307660362749
Russian Federation,RUS,2007,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,20.59957459839
Russian Federation,RUS,2006,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,20.9321804080885
Russian Federation,RUS,2005,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,21.3682581379122
Russian Federation,RUS,2004,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,22.1148971621254
Russian Federation,RUS,2003,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,23.1035184826124
Russian Federation,RUS,2002,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,24.2437563425371
Russian Federation,RUS,2001,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,25.3547886064219
Russian Federation,RUS,2000,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,26.3209279004556
Russian Federation,RUS,1999,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,27.6280856006862
Russian Federation,RUS,1998,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,28.7873527603143
Russian Federation,RUS,1997,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,29.8235912692194
Russian Federation,RUS,1996,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,30.9028133913462
Russian Federation,RUS,1995,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,32.1640937160493
Russian Federation,RUS,1994,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,32.8965973294112
Russian Federation,RUS,1993,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,33.5472514868807
Russian Federation,RUS,1992,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,34.0650788195871
Russian Federation,RUS,1991,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,34.3379435251078
Russian Federation,RUS,1990,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,34.2900947329479
Russian Federation,RUS,1989,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,34.3656817232626
Russian Federation,RUS,1988,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,34.3044685024636
Russian Federation,RUS,1987,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,34.1149912678016
Russian Federation,RUS,1986,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,33.7794576878761
Russian Federation,RUS,1985,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,33.3000110861719
Russian Federation,RUS,1984,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,32.9139045628899
Russian Federation,RUS,1983,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,32.4083178033975
Russian Federation,RUS,1982,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,31.9007116346231
Russian Federation,RUS,1981,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,31.6052253137374
Russian Federation,RUS,1980,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,31.6363988070631
Russian Federation,RUS,1979,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,31.7733500317461
Russian Federation,RUS,1978,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,32.2137507990194
Russian Federation,RUS,1977,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,32.8599008983687
Russian Federation,RUS,1976,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,33.4785347293514
Russian Federation,RUS,1975,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,33.8960198192695
Russian Federation,RUS,1974,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,34.8702449767387
Russian Federation,RUS,1973,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,35.8684661270888
Russian Federation,RUS,1972,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,36.931860867972
Russian Federation,RUS,1971,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,38.1741835226097
Russian Federation,RUS,1970,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,39.6752599681743
Russian Federation,RUS,1969,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,40.9832370961413
Russian Federation,RUS,1968,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,42.3150149565407
Russian Federation,RUS,1967,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,43.6218519876727
Russian Federation,RUS,1966,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,44.8767997093268
Russian Federation,RUS,1965,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,46.0606174355697
Russian Federation,RUS,1964,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,46.9768662413607
Russian Federation,RUS,1963,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,47.8442928723411
Russian Federation,RUS,1962,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,48.475044403005
Russian Federation,RUS,1961,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,48.5039473604326
Russian Federation,RUS,1960,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,47.7844426748092
Russian Federation,RUS,2017,Number of infant deaths,SH.DTH.IMRT,11755
Russian Federation,RUS,2016,Number of infant deaths,SH.DTH.IMRT,12632
Russian Federation,RUS,2015,Number of infant deaths,SH.DTH.IMRT,13568
Russian Federation,RUS,2014,Number of infant deaths,SH.DTH.IMRT,14414
Russian Federation,RUS,2013,Number of infant deaths,SH.DTH.IMRT,15008
Russian Federation,RUS,2012,Number of infant deaths,SH.DTH.IMRT,15328
Russian Federation,RUS,2011,Number of infant deaths,SH.DTH.IMRT,15432
Russian Federation,RUS,2010,Number of infant deaths,SH.DTH.IMRT,15431
Russian Federation,RUS,2009,Number of infant deaths,SH.DTH.IMRT,15483
Russian Federation,RUS,2008,Number of infant deaths,SH.DTH.IMRT,15744
Russian Federation,RUS,2007,Number of infant deaths,SH.DTH.IMRT,16242
Russian Federation,RUS,2006,Number of infant deaths,SH.DTH.IMRT,16914
Russian Federation,RUS,2005,Number of infant deaths,SH.DTH.IMRT,17706
Russian Federation,RUS,2004,Number of infant deaths,SH.DTH.IMRT,18574
Russian Federation,RUS,2003,Number of infant deaths,SH.DTH.IMRT,19462
Russian Federation,RUS,2002,Number of infant deaths,SH.DTH.IMRT,20321
Russian Federation,RUS,2001,Number of infant deaths,SH.DTH.IMRT,21091
Russian Federation,RUS,2000,Number of infant deaths,SH.DTH.IMRT,21801
Russian Federation,RUS,1999,Number of infant deaths,SH.DTH.IMRT,22491
Russian Federation,RUS,1998,Number of infant deaths,SH.DTH.IMRT,23233
Russian Federation,RUS,1997,Number of infant deaths,SH.DTH.IMRT,24104
Russian Federation,RUS,1996,Number of infant deaths,SH.DTH.IMRT,25230
Russian Federation,RUS,1995,Number of infant deaths,SH.DTH.IMRT,26737
Russian Federation,RUS,1994,Number of infant deaths,SH.DTH.IMRT,28581
Russian Federation,RUS,1993,Number of infant deaths,SH.DTH.IMRT,30608
Russian Federation,RUS,1992,Number of infant deaths,SH.DTH.IMRT,32805
Russian Federation,RUS,1991,Number of infant deaths,SH.DTH.IMRT,35266
Russian Federation,RUS,1990,Number of infant deaths,SH.DTH.IMRT,38036
Russian Federation,RUS,1989,Number of infant deaths,SH.DTH.IMRT,41010
Russian Federation,RUS,1988,Number of infant deaths,SH.DTH.IMRT,44070
Russian Federation,RUS,1987,Number of infant deaths,SH.DTH.IMRT,46949
Russian Federation,RUS,1986,Number of infant deaths,SH.DTH.IMRT,49275
Russian Federation,RUS,1985,Number of infant deaths,SH.DTH.IMRT,50818
Russian Federation,RUS,1984,Number of infant deaths,SH.DTH.IMRT,51631
Russian Federation,RUS,1983,Number of infant deaths,SH.DTH.IMRT,51917
Russian Federation,RUS,1982,Number of infant deaths,SH.DTH.IMRT,51882
Russian Federation,RUS,1981,Number of infant deaths,SH.DTH.IMRT,51750
Russian Federation,RUS,1980,Number of infant deaths,SH.DTH.IMRT,51655
Russian Federation,RUS,1979,Number of infant deaths,SH.DTH.IMRT,51637
Russian Federation,RUS,1978,Number of infant deaths,SH.DTH.IMRT,51678
Russian Federation,RUS,1977,Number of infant deaths,SH.DTH.IMRT,51856
Russian Federation,RUS,1976,Number of infant deaths,SH.DTH.IMRT,52290
Russian Federation,RUS,1975,Number of infant deaths,SH.DTH.IMRT,52973
Russian Federation,RUS,1974,Number of infant deaths,SH.DTH.IMRT,53841
Russian Federation,RUS,1973,Number of infant deaths,SH.DTH.IMRT,54876
Russian Federation,RUS,1972,Number of infant deaths,SH.DTH.IMRT,55998
Russian Federation,RUS,1971,Number of infant deaths,SH.DTH.IMRT,57380
Russian Federation,RUS,1970,Number of infant deaths,SH.DTH.IMRT,
Russian Federation,RUS,1969,Number of infant deaths,SH.DTH.IMRT,
Russian Federation,RUS,1968,Number of infant deaths,SH.DTH.IMRT,
Russian Federation,RUS,1967,Number of infant deaths,SH.DTH.IMRT,
Russian Federation,RUS,1966,Number of infant deaths,SH.DTH.IMRT,
Russian Federation,RUS,1965,Number of infant deaths,SH.DTH.IMRT,
Russian Federation,RUS,1964,Number of infant deaths,SH.DTH.IMRT,
Russian Federation,RUS,1963,Number of infant deaths,SH.DTH.IMRT,
Russian Federation,RUS,1962,Number of infant deaths,SH.DTH.IMRT,
Russian Federation,RUS,1961,Number of infant deaths,SH.DTH.IMRT,
Russian Federation,RUS,1960,Number of infant deaths,SH.DTH.IMRT,
Russian Federation,RUS,2017,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2016,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2015,International migrant stock (% of population),SM.POP.TOTL.ZS,8.11621785991527
Russian Federation,RUS,2014,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2013,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2012,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2011,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2010,International migrant stock (% of population),SM.POP.TOTL.ZS,7.81982303355397
Russian Federation,RUS,2009,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2008,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2007,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2006,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2005,International migrant stock (% of population),SM.POP.TOTL.ZS,8.1237846704396
Russian Federation,RUS,2004,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2003,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2002,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2001,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,2000,International migrant stock (% of population),SM.POP.TOTL.ZS,8.12856536703781
Russian Federation,RUS,1999,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1998,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1997,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1996,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1995,International migrant stock (% of population),SM.POP.TOTL.ZS,8.04414617211375
Russian Federation,RUS,1994,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1993,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1992,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1991,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1990,International migrant stock (% of population),SM.POP.TOTL.ZS,7.80989434659493
Russian Federation,RUS,1989,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1988,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1987,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1986,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1985,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1984,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1983,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1982,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1981,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1980,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1979,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1978,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1977,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1976,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1975,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1974,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1973,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1972,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1971,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1970,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1969,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1968,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1967,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1966,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1965,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1964,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1963,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1962,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1961,International migrant stock (% of population),SM.POP.TOTL.ZS,
Russian Federation,RUS,1960,International migrant stock (% of population),SM.POP.TOTL.ZS,
