Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
Ukraine,UKR,2018,"Population, total",SP.POP.TOTL,44591000
Ukraine,UKR,2017,"Population, total",SP.POP.TOTL,44831159
Ukraine,UKR,2016,"Population, total",SP.POP.TOTL,45004645
Ukraine,UKR,2015,"Population, total",SP.POP.TOTL,45154029
Ukraine,UKR,2014,"Population, total",SP.POP.TOTL,45271947
Ukraine,UKR,2013,"Population, total",SP.POP.TOTL,45489600
Ukraine,UKR,2012,"Population, total",SP.POP.TOTL,45593300
Ukraine,UKR,2011,"Population, total",SP.POP.TOTL,45706100
Ukraine,UKR,2010,"Population, total",SP.POP.TOTL,45870700
Ukraine,UKR,2009,"Population, total",SP.POP.TOTL,46053300
Ukraine,UKR,2008,"Population, total",SP.POP.TOTL,46258200
Ukraine,UKR,2007,"Population, total",SP.POP.TOTL,46509350
Ukraine,UKR,2006,"Population, total",SP.POP.TOTL,46787750
Ukraine,UKR,2005,"Population, total",SP.POP.TOTL,47105150
Ukraine,UKR,2004,"Population, total",SP.POP.TOTL,47451600
Ukraine,UKR,2003,"Population, total",SP.POP.TOTL,47812950
Ukraine,UKR,2002,"Population, total",SP.POP.TOTL,48202500
Ukraine,UKR,2001,"Population, total",SP.POP.TOTL,48683865
Ukraine,UKR,2000,"Population, total",SP.POP.TOTL,49175848
Ukraine,UKR,1999,"Population, total",SP.POP.TOTL,49673350
Ukraine,UKR,1998,"Population, total",SP.POP.TOTL,50143939
Ukraine,UKR,1997,"Population, total",SP.POP.TOTL,50594105
Ukraine,UKR,1996,"Population, total",SP.POP.TOTL,51057189
Ukraine,UKR,1995,"Population, total",SP.POP.TOTL,51512299
Ukraine,UKR,1994,"Population, total",SP.POP.TOTL,51921041
Ukraine,UKR,1993,"Population, total",SP.POP.TOTL,52179210
Ukraine,UKR,1992,"Population, total",SP.POP.TOTL,52150266
Ukraine,UKR,1991,"Population, total",SP.POP.TOTL,52000470
Ukraine,UKR,1990,"Population, total",SP.POP.TOTL,51892000
Ukraine,UKR,1989,"Population, total",SP.POP.TOTL,51773000
Ukraine,UKR,1988,"Population, total",SP.POP.TOTL,51521000
Ukraine,UKR,1987,"Population, total",SP.POP.TOTL,51293000
Ukraine,UKR,1986,"Population, total",SP.POP.TOTL,51097000
Ukraine,UKR,1985,"Population, total",SP.POP.TOTL,50917000
Ukraine,UKR,1984,"Population, total",SP.POP.TOTL,50754000
Ukraine,UKR,1983,"Population, total",SP.POP.TOTL,50564000
Ukraine,UKR,1982,"Population, total",SP.POP.TOTL,50384000
Ukraine,UKR,1981,"Population, total",SP.POP.TOTL,50221000
Ukraine,UKR,1980,"Population, total",SP.POP.TOTL,49968812
Ukraine,UKR,1979,"Population, total",SP.POP.TOTL,49751257
Ukraine,UKR,1978,"Population, total",SP.POP.TOTL,49526883
Ukraine,UKR,1977,"Population, total",SP.POP.TOTL,49290905
Ukraine,UKR,1976,"Population, total",SP.POP.TOTL,49036456
Ukraine,UKR,1975,"Population, total",SP.POP.TOTL,48758987
Ukraine,UKR,1974,"Population, total",SP.POP.TOTL,48455122
Ukraine,UKR,1973,"Population, total",SP.POP.TOTL,48127172
Ukraine,UKR,1972,"Population, total",SP.POP.TOTL,47783011
Ukraine,UKR,1971,"Population, total",SP.POP.TOTL,47433805
Ukraine,UKR,1970,"Population, total",SP.POP.TOTL,47086761
Ukraine,UKR,1969,"Population, total",SP.POP.TOTL,46746669
Ukraine,UKR,1968,"Population, total",SP.POP.TOTL,46409002
Ukraine,UKR,1967,"Population, total",SP.POP.TOTL,46060452
Ukraine,UKR,1966,"Population, total",SP.POP.TOTL,45682308
Ukraine,UKR,1965,"Population, total",SP.POP.TOTL,45261935
Ukraine,UKR,1964,"Population, total",SP.POP.TOTL,44794327
Ukraine,UKR,1963,"Population, total",SP.POP.TOTL,44285899
Ukraine,UKR,1962,"Population, total",SP.POP.TOTL,43749470
Ukraine,UKR,1961,"Population, total",SP.POP.TOTL,43203635
Ukraine,UKR,1960,"Population, total",SP.POP.TOTL,42662149
Ukraine,UKR,2018,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.8622727300538
Ukraine,UKR,2017,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.1923998359245
Ukraine,UKR,2016,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,23.5588470381175
Ukraine,UKR,2015,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,23.0064423241783
Ukraine,UKR,2014,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.7556740846198
Ukraine,UKR,2013,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.5836559534885
Ukraine,UKR,2012,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.4791892278971
Ukraine,UKR,2011,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.4218568749853
Ukraine,UKR,2010,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.3921290594725
Ukraine,UKR,2009,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.5090437399072
Ukraine,UKR,2008,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.7266714144036
Ukraine,UKR,2007,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.963773533953
Ukraine,UKR,2006,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,23.0553332418496
Ukraine,UKR,2005,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.8705320139982
Ukraine,UKR,2004,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.6576761594944
Ukraine,UKR,2003,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.0768744461913
Ukraine,UKR,2002,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,21.2753369834597
Ukraine,UKR,2001,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.5186289654778
Ukraine,UKR,2000,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.9795200228338
Ukraine,UKR,1999,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.8752711425171
Ukraine,UKR,1998,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.0289300663246
Ukraine,UKR,1997,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.3096087143692
